ResourceID,Statement of Responsibility,Language,Publisher,Date of Publication,Publication Location Name,Contributor,Subject(s),Bibliographic Item Description text,Bibliographic Source Title,Page(s),Resource ID,Language,External Cross Reference Source,Title Type,External Cross Reference Number,Journal or Serial ,Bibliographic Source Type,External Cross Reference Notes,Copyright Type,Editor,Volume number/part,Copyright Description,File,Author,Period(s),Bibliographic Item Description Type
03f557cc-23e7-408c-b8d1-9dc4959d6ec0,"Gilmour, B.",English,,1972,,,,,Lucy Tower 1972. Archive Report,,03f557cc-23e7-408c-b8d1-9dc4959d6ec0,English,Lincoln Heritage Database (Sources),Primary,1040,,Interim Report,,,,,,,,,
03f557cc-23e7-408c-b8d1-9dc4959d6ec0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03fb2156-8896-4b4c-bf22-02ea7f9f20c8,"Marjoram, J. and Moore, C. N.",English,Society for Lincolnshire History and Archaeology,1975,,,,,"The Roman Aqueduct, Lincoln",,03fb2156-8896-4b4c-bf22-02ea7f9f20c8,English,Lincoln Heritage Database (Sources),Primary,988,,Article,,,,,,,,,
03fb2156-8896-4b4c-bf22-02ea7f9f20c8,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04022de5-e812-4268-8080-32dd1325a754,,English,Society for Medieval Archaeology,1965,,,,,Medieval Archaeology 9,,04022de5-e812-4268-8080-32dd1325a754,English,Lincoln Heritage Database (Sources),Primary,4308,,Journal,,,,,,,,,
04022de5-e812-4268-8080-32dd1325a754,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04028abf-fa21-4476-9ed2-8009a3036748,"Crowfoot, E.",English,,,,,,,O,,04028abf-fa21-4476-9ed2-8009a3036748,English,Lincoln Heritage Database (Sources),Primary,851,,Volume,,,,,,,,,
04028abf-fa21-4476-9ed2-8009a3036748,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04251bbc-943b-4fec-85ab-bd1957d1b0a5,"Savage, R. D. & Sleap, J.",English,PCAS Archaeology,2012,,,,,"10 James Street, Lincoln. Scheme of Archaeological Mitigation",,04251bbc-943b-4fec-85ab-bd1957d1b0a5,English,Lincoln Heritage Database (Sources),Primary,2747,,Watching Brief Report,,,,,,,,,
04251bbc-943b-4fec-85ab-bd1957d1b0a5,,English,,,,,,,,,,English,,,,,,,,,,,,,,
043e0733-d98b-4ac8-954c-9f7b16240b1d,"Rosenau, H.",English,Archaeological Institute of Great Britain and Ireland,1937,,,,,The early synagogue,,043e0733-d98b-4ac8-954c-9f7b16240b1d,English,Lincoln Heritage Database (Sources),Primary,2232,,Article,,,,,,,,,
043e0733-d98b-4ac8-954c-9f7b16240b1d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04659162-0739-467f-86d4-72580354d246,"Mills, D.",English,Society for Lincolnshire History and Archaeology,2001,,,,,"A common question. Were Wigford, Canwick and Bracebridge parts of a single early estate?",,04659162-0739-467f-86d4-72580354d246,English,Lincoln Heritage Database (Sources),Primary,1665,,Article,,,,,,,,,
04659162-0739-467f-86d4-72580354d246,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04718d18-84bd-4567-8804-c97ab8d15ffb,"Hockley, J.",English,City of Lincoln Archaeology Unit,1992,,,,,"Proposed foodstore: Nettleham/Searby Roads, Lincoln. Archaeological and historical study,",,04718d18-84bd-4567-8804-c97ab8d15ffb,English,Lincoln Heritage Database (Sources),Primary,1207,,Deskbased Survey Report,,,,,,,,,
04718d18-84bd-4567-8804-c97ab8d15ffb,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0488023a-1473-4cc4-9ade-c985418de2e8,,English,,1979,,,,,Technological finds from Anglo-Scandinavian levels,,0488023a-1473-4cc4-9ade-c985418de2e8,English,Lincoln Heritage Database (Sources),Primary,652,,Report,,,,,,,,,
0488023a-1473-4cc4-9ade-c985418de2e8,,English,,,,,,,,,,English,,,,,,,,,,,,,,
048d3118-7ddc-488e-960f-7f5417ce6704,"Jarvis, M.",English,City of Lincoln Archaeology Unit,2000,,,,,"29 Steep Hill, Lincoln.  Archaeological Recording in conjunction with geotechnical trial pit investigations",,048d3118-7ddc-488e-960f-7f5417ce6704,English,Lincoln Heritage Database (Sources),Primary,1478,,Watching Brief Report,,,,,,,,,
048d3118-7ddc-488e-960f-7f5417ce6704,,English,,,,,,,,,,English,,,,,,,,,,,,,,
048e9e52-6df9-43ef-a87a-ba505f19ca89,"Rogerson, A. and Dallas, C.",English,Norfolk Archaeological Unit,1984,,,,,The pottery,,048e9e52-6df9-43ef-a87a-ba505f19ca89,English,Lincoln Heritage Database (Sources),Primary,923,,Excavation Report,,,,,,,,,
048e9e52-6df9-43ef-a87a-ba505f19ca89,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04909e9a-a65c-4096-ad35-c3d76fff8ecb,"Ussher, W. A. E. Jukes-Brown, A. J. and Strahan, A.",English,,1888,,,,,The geology of the country around Lincoln,,04909e9a-a65c-4096-ad35-c3d76fff8ecb,English,Lincoln Heritage Database (Sources),Primary,477,,Volume,,,,,,,,,
04909e9a-a65c-4096-ad35-c3d76fff8ecb,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04c1d954-2971-4dfe-b3c6-a3024a0d44a3,Leigh D J,English,Northamptonshire Archaeology,2011,,,,,"An archaeological watching brief on land at West Common, Carholme Road, Lincoln",,04c1d954-2971-4dfe-b3c6-a3024a0d44a3,English,Lincoln Heritage Database (Sources),Primary,2947,,Watching Brief Report,,,,,,,,,
04c1d954-2971-4dfe-b3c6-a3024a0d44a3,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04c8685c-9483-4eb2-badf-b74d0e69966a,,English,Society for Lincolnshire History and Archaeology,1998,,,,,Lincoln: rear of 5/6 Eastgate,,04c8685c-9483-4eb2-badf-b74d0e69966a,English,Lincoln Heritage Database (Sources),Primary,1621,,Article,,,,,,,,,
04c8685c-9483-4eb2-badf-b74d0e69966a,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04e03ab0-3113-4e53-a9b9-43385f201ae4,"Lane, A.",English,PCAS Archaeology,2014,,,,,"No. 37 Cecil Street, Lincoln. Scheme of Archaeological Monitoring and Recording",,04e03ab0-3113-4e53-a9b9-43385f201ae4,English,Lincoln Heritage Database (Sources),Primary,2996,,Watching Brief Report,,,,,,,,,
04e03ab0-3113-4e53-a9b9-43385f201ae4,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04ec2ea5-d897-40b1-8a5f-245b343f1283,"Jones, Michael",English,Lincoln Archaeological Trust,1980,,,,,Watching briefs,,04ec2ea5-d897-40b1-8a5f-245b343f1283,English,Lincoln Heritage Database (Sources),Primary,276,,Article,,,,,,,,,
04ec2ea5-d897-40b1-8a5f-245b343f1283,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04f0be88-b5bc-45ff-b6a1-dd336712d0e4,"Brann, Martin",English,City of Lincoln Archaeology Unit,1992,,,,,"Bishops Old Palace, Lincoln",,04f0be88-b5bc-45ff-b6a1-dd336712d0e4,English,Lincoln Heritage Database (Sources),Primary,49,,Article,,,,,,,,,
04f0be88-b5bc-45ff-b6a1-dd336712d0e4,,English,,,,,,,,,,English,,,,,,,,,,,,,,
04f13dae-000a-4f80-b39d-927d0ee5ef01,"Tomlin, R. S. O.,Wright, R. P.  and  Hassall, M. W. C.",English,Oxbow Books,2009,,,,,Roman Inscriptions of Britain. Volume III: Inscriptions on Stone,,04f13dae-000a-4f80-b39d-927d0ee5ef01,English,Lincoln Heritage Database (Sources),Primary,1134,,Volume,,,,,,,,,
04f13dae-000a-4f80-b39d-927d0ee5ef01,,English,,,,,,,,,,English,,,,,,,,,,,,,,
