ResourceID,Activity Method Type,Spatial Accuracy Qualifier,Compiler Name,Geometry Source,Spatial Metadata Description,Locality,Map Reference Name,Role,Activity Phase Description text,External Cross Reference Source,Activity Phase Description Type,External Cross Reference Notes,Road or Street Name,Town or City,To Date,Date Type,Area Type,Geometry,External Cross Reference Number,Number in Road or Street,Location Description Type,Map Reference Type,Postal Code,Activity Description Language,Activity Name,Activity Type,From Date,Location Description text,Location Description Language,Date of Compilation,Activity Description text,Area Name,File,Activity Description Type,Activity Phase Language,Activity Name Type,Resource ID
0076a8b2-72ae-42b4-8bd6-f82f3d4f54a8,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.558183 53.200655, -0.557984 53.200796, -0.5580079999999999 53.200808, -0.558207 53.200667, -0.558183 53.200655)))",10569,,,,,,Trial Trench at Hykeham Road,TRIAL TRENCH,,,,,"Archaeological Evaluation in advance of a residential development. Eight trenches were investigated, Trenches 1-8. Evidence was revealed relating to Roman industrial use of the site, in the form of pottery production. Area 3, Trench 8, 20m x 2m. The natural substratum, 0.68 below the ground surface, was cut by a ditch, sealed by a stony deposit. This was sealed by a subsoil, which was cut by a post-medieval ditch and modern land drain. This trench was excavated across the line of The Pingles but nothing was found to throw light on its nature. No evidence for any road surface.",,,Summary,,Primary,
0076a8b2-72ae-42b4-8bd6-f82f3d4f54a8,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2008.114,,,,,,,,,,,,,,,,,,
0076a8b2-72ae-42b4-8bd6-f82f3d4f54a8,,,,,,,,,,,,,,,,,,,,,,,,,Land to the rear of 41-73 Hykeham Road,,,,,,,,,,,Site Name,
008b5916-226c-4024-a5ba-8d887b82d3aa,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.536789338217122 53.2292114735933)),266,,,,,,Excavation at Grey Friars Pathway/Free School Lane/Broadgate,EXCAVATION,,,,,This trench contained soft yellowish worked limestone blocks with some evidence of white/yellow mortar. Also included was a limestone (?windowsill) block with bevelled side which had been reused as a footing near to the Museum doorway,,,Summary,,Primary,
008b5916-226c-4024-a5ba-8d887b82d3aa,,,,,,,,,,,,,,,,,,,,,,,,,Grey Friars Pathway,,,,,,,,,,,Site Name,
008d6dcf-da3c-4e53-9dbd-b97678df716b,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.534015 53.23492, -0.534019 53.234901, -0.534021 53.234899, -0.534021 53.234898, -0.534021 53.234896, -0.534021 53.234894, -0.534021 53.234892, -0.534021 53.234891, -0.534019 53.23489, -0.534017 53.23489, -0.534015 53.23489, -0.534013 53.234892, -0.534012 53.234895, -0.534012 53.234897, -0.534012 53.234898, -0.534013 53.2349, -0.534014 53.2349, -0.534014 53.234902, -0.53401 53.23492, -0.534015 53.23492)))",11154,,,,,,"The Priory, 2 Minster Yard",WATCHING BRIEF,,,,,"Archaeological monitoring and recording during drain trenching works in two locations. The modern gravel surface overlay crushed limestone bedding, an earlier asphalt car park surface, and a levelling layer. Trench 2; south west of the building. A wall fragment was recorded.",,,Summary,,Site Name,
008d6dcf-da3c-4e53-9dbd-b97678df716b,,,,,,,,,,,,,,,,,,,,,,,,,Watching Brief at 2 Minster Yard,,,,,,,,,,,Primary,
008d6dcf-da3c-4e53-9dbd-b97678df716b,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2011.517,,,,,,,,,,,,,,,,,,
00a057e0-4867-4691-ade4-48f83b537210,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.549976 53.231346, -0.550006 53.231346, -0.550006 53.231337, -0.549976 53.231337, -0.549976 53.231346)))",7865,,,,,,Watching Brief at 57-59 Carholme Road,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) during the excavation of 5 geotechnical test pits. Test Pit 2 (TP2).  Natural sand 0.9m below surface sealed by silty sand and top-soil.,,,Summary,,Primary,
00a057e0-4867-4691-ade4-48f83b537210,,,,,,,,,,,,,,,,,,,,,,,,,57-59 Carholme Road,,,,,,,,,,,Site Name,
00a5d5ee-e8e0-484b-a95f-bf76267be19b,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.539044 53.22883, -0.539048 53.228807, -0.539055 53.228784, -0.53906 53.228762, -0.539063 53.228747, -0.539063 53.228742, -0.539065 53.228737, -0.539072 53.228726, -0.539075 53.228711, -0.53908 53.228687, -0.539082 53.228674, -0.539082 53.22867, -0.539079 53.228667, -0.539073 53.228665, -0.539066 53.228665, -0.539064 53.228666, -0.539062 53.228668, -0.539059 53.228675, -0.539038 53.228738, -0.539032 53.228755, -0.539022 53.228777, -0.539012 53.228804, -0.539008 53.228812, -0.539007 53.228817, -0.539009 53.22882, -0.539015 53.228825, -0.539022 53.228827, -0.53903 53.228828, -0.539044 53.22883)))",1055,,,,,,Excavation at Waterside North,EXCAVATION,,,,,Area 2 of three. Area B,,,Summary,,Primary,
00a5d5ee-e8e0-484b-a95f-bf76267be19b,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2013.139,,,,,,,,,,,,,,,,,,
00a5d5ee-e8e0-484b-a95f-bf76267be19b,,,,,,,,,,,,,,,,,,,,,,,,,Waterside north west,,,,,,,,,,,Site Name,
00b3ade4-ca89-4d8b-85e8-de6b05c3a1e4,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5450964602392711 53.2263375900172)),8964,,,,,,Borehole Survey at Ropewalk/Holmes,BOREHOLE SURVEY,,,,,Borehole environmental sampling and analysis during groundworks for the conversion of the Great Central Warehouse into the main library for the University of Lincoln. Borehole 4 of 5. BH5. Post-medieval deposits were recorded down to 3.5m in depth,,,Summary,,Primary,
00b3ade4-ca89-4d8b-85e8-de6b05c3a1e4,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2004.264,,,,,,,,,,,,,,,,,,
00b3ade4-ca89-4d8b-85e8-de6b05c3a1e4,,,,,,,,,,,,,,,,,,,,,,,,,Great Central Warehouse,,,,,,,,,,,Site Name,
00b8f50e-8631-472f-8e9c-dcf6ccd83008,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.538306452740318 53.2343721607854)),3075,,,,,,Casual Observation at Exchequergate,CASUAL OBSERVATION,,,,,"Observation of standing walls with stucco imitating marble veneer, and mosaic pavement",,,Summary,,Primary,
00b8f50e-8631-472f-8e9c-dcf6ccd83008,,,,,,,,,,,,,,,,,,,,,,,,,Exchequergate,,,,,,,,,,,Site Name,
00cebe5a-b027-4cce-97be-2790e36ef9e3,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.539204580665323 53.23400349033644, -0.539208563233521 53.23399548566357, -0.539187174377374 53.23399165255906, -0.539183246681553 53.23399948664132, -0.539204580665323 53.23400349033644)))",4796,,,,,,Watching Brief at Steep Hill,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) in conjunction with geotechnical trial pit investigations. Trial pit 1.,,,Summary,,Primary,
00cebe5a-b027-4cce-97be-2790e36ef9e3,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,141.99,,,,,,,,,,,,,,,,,,
00cebe5a-b027-4cce-97be-2790e36ef9e3,,,,,,,,,,,,,,,,,,,,,,,,,29 Steep Hill,,,,,,,,,,,Site Name,
010be1c0-2426-4a17-853d-e062515dadc4,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.546688499668154 53.2381603943738)),4172,,,,,,Photographic Survey at Mill Road,PHOTOGRAPHIC SURVEY,,,,,The mill was recorded and photographed as part of 1998 Industrial Archaeology Survey project,,,Summary,,Primary,
010be1c0-2426-4a17-853d-e062515dadc4,,,,,,,,,,,,,,,,,,,,,,,,,Ellis mill,,,,,,,,,,,Site Name,
011c813f-2acb-48f8-b620-579b1a6f27cf,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.536570177154835 53.2365173594791)),11246,,,,,,Watching Brief at 10 James Street,WATCHING BRIEF,,,,,"Scheme of Archaeological Mitigation during groundworks for the construction of a detached dwelling, involving the monitoring and recording of archaeological deposits within new ground-beam foundation trenches, two service trenches, ground levelling, a fish pond and a trial pit.  Fish pond and associated groundworks.",,,Summary,,Primary,
011c813f-2acb-48f8-b620-579b1a6f27cf,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2011.457,,,,,,,,,,,,,,,,,,
011c813f-2acb-48f8-b620-579b1a6f27cf,,,,,,,,,,,,,,,,,,,,,,,,,10 James Street,,,,,,,,,,,Site Name,
0128233f-6d8d-4241-ae60-ba06768436bb,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5469451618080819 53.2274838459986)),11174,,,,,,Evaluation at University of Lincoln,EVALUATION,,,,,"Archaeological evaluation in advance of the construction of a new Art, Architecture and Design Building, consisting of four test pits. They exposed c 4m of deposits, with peat overlying a palaeosol and glacial sand, below railway consolidation and modern deposits",,,Summary,,Primary,
0128233f-6d8d-4241-ae60-ba06768436bb,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2012.93,,,,,,,,,,,,,,,,,,
0128233f-6d8d-4241-ae60-ba06768436bb,,,,,,,,,,,,,,,,,,,,,,,,,"Zone D, Brayford Campus",,,,,,,,,,,Site Name,
014558c0-6587-40a7-9729-3f19fde5a52d,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.536630510350378 53.2281577353228)),4171,,,,,,Photographic Survey at Melville Street / Broadgate / Magpie Square,PHOTOGRAPHIC SURVEY,,,,,The bridge was recorded and photographed as part of 1998 Industrial Archaeology Survey project,,,Summary,,Primary,
014558c0-6587-40a7-9729-3f19fde5a52d,,,,,,,,,,,,,,,,,,,,,,,,,Thorn Bridge,,,,,,,,,,,Site Name,
0147e97b-fd00-4e82-b877-edbc726deab3,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.541616735442725 53.2185280085656)),1128,,,,,,Watching Brief at Sincil Bank,WATCHING BRIEF,,,,,Archaeological monitoring and recording (watching brief) site. Area 5 of five. Area 5,,"[{u'status': u'uploaded', u'index': 0, u'name': u'4d91cc48-36f4-43f9-888a-4492dfbf03f1.jpeg', u'url': u'/media/files/uploadedfiles/4d91cc48-36f4-43f9-888a-4492dfbf03f1.jpeg', u'lastModified': 1555493874952, u'height': 1200, u'content': u'blob:https://arcade.lincoln.gov.uk/76bfb35c-a810-4d02-a042-6f581eff3442', u'width': 1600, u'file_id': u'e6e5da5c-919d-11e9-ae3b-066e122e3f0a', u'accepted': True, u'type': u'image/jpeg', u'size': 369423}]",Summary,,Primary,
0147e97b-fd00-4e82-b877-edbc726deab3,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,136.94,,,,,,,,,,,,,,,,,,
0147e97b-fd00-4e82-b877-edbc726deab3,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln City Football Club - new stand,,,,,,,,,,,Site Name,
015db8fa-19c1-4b25-8bb2-3b0b03a368f1,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.542960697571193 53.2265901798942)),11191,,,,,,Watching Brief at Wigford,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) of five geotechnical test pits (TP 1-5) and six boreholes (BH1-6) in advance of the construction of student residential accommodation. BH5. A top layer of brick rubble, possibly a backfilled cellar, overlay a 2m thick layer of dark brown clayey sand, below which was yellow sand.",,,Summary,,Primary,
015db8fa-19c1-4b25-8bb2-3b0b03a368f1,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2012.12,,,,,,,,,,,,,,,,,,
015db8fa-19c1-4b25-8bb2-3b0b03a368f1,,,,,,,,,,,,,,,,,,,,,,,,,Land off Brayford Wharf East,,,,,,,,,,,Site Name,
015dbef6-cf72-4acc-a40f-8f25c42869ef,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.611951524409851 53.2110884894903)),8858,,,,,,"Watching Brief at Kingsdown Road/Carnoustie Drive/Muirfield Close, Birchwood",WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) during site clearance and groundworks in advance of a residential development. No archaeological deposits were recorded, and no remains of the World War II RAF Skellingthorpe base were observed. Top soil 0.25m deep overlay sand deposits of very mixed appearance. Some land drains were seen.",,,Summary,,Primary,
015dbef6-cf72-4acc-a40f-8f25c42869ef,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2005.1,,,,,,,,,,,,,,,,,,
015dbef6-cf72-4acc-a40f-8f25c42869ef,,,,,,,,,,,,,,,,,,,,,,,,,"Land off Kingsdown Road, Birchwood",,,,,,,,,,,Site Name,
01605524-acb7-484f-b535-1333444c7b2a,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.540059 53.228411, -0.540069 53.228164, -0.540061 53.228155, -0.538571 53.228071, -0.538569 53.228083, -0.54004 53.228162, -0.540054 53.228169, -0.540046 53.22841, -0.540059 53.228411)))",1066,,,,,,Watching Brief at Waterside South,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) of a drain trench in advance of the construction of a shop for C & A (now Wilkinsons). The trench ran east-west from Sincil Street for 100m, then northwards for 27m towards the river. It was c1m wide and up to 3.9m deep.",,,Summary,,Primary,
01605524-acb7-484f-b535-1333444c7b2a,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2000.55,,,,,,,,,,,,,,,,,,
01605524-acb7-484f-b535-1333444c7b2a,,,,,,,,,,,,,,,,,,,,,,,,,Waterside South 1982,,,,,,,,,,,Site Name,
0172ee25-b72a-484c-b99d-8158a3f3fa75,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.544442 53.226249, -0.54447 53.22625, -0.544471 53.226225, -0.544443 53.226224, -0.544442 53.226249)))",10787,,,,,,Test Pit at St Marks Street,TEST PIT,,,,,"Archaeological Evaluation in advance of construction of a residential development. It consisted of two test pits Trench 1 and Trench 2. Trench 2, 1.8m x 2.8m x 2.04m deep. Modern floor surfaces and brick foundations were recorded to a depth of 1.62m. Beneath was a layer of clayey silt.",,,Summary,,Primary,
0172ee25-b72a-484c-b99d-8158a3f3fa75,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2002.326,,,,,,,,,,,,,,,,,,
0172ee25-b72a-484c-b99d-8158a3f3fa75,,,,,,,,,,,,,,,,,,,,,,,,,The Junction,,,,,,,,,,,Site Name,
0175b661-98d2-4de5-a94c-9f184b02c0c3,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.538572724360425 53.2331528351822)),380,,,,,,Watching Brief at Steep Hill,WATCHING BRIEF,,,,,Total renovation of the building. Structural damage to north facing wall. North wall had some stone rubble at foundation. South wall had stone rubble grey soil mix foundation. Several pieces of samian Roman pottery retrieved,,,Summary,,Primary,
0175b661-98d2-4de5-a94c-9f184b02c0c3,,,,,,,,,,,,,,,,,,,,,,,,,16 Steep Hill,,,,,,,,,,,Site Name,
019d9806-6bec-484d-adce-63e1cf2cb1c5,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.534147421051793 53.2306802837454)),733,,,,,,Watching Brief at Monks Road,WATCHING BRIEF,,,,,Foundations for a rear (south) extension to a depth of 1m revealed only homogenous loam with some bone. This was interpreted as a Victorian garden soil dump,,"[{u'status': u'uploaded', u'index': 0, u'name': u'4d91cc48-36f4-43f9-888a-4492dfbf03f1.jpeg', u'url': u'/media/files/uploadedfiles/4d91cc48-36f4-43f9-888a-4492dfbf03f1_GvELzs5.jpeg', u'lastModified': 1555493874952, u'height': 1200, u'content': u'blob:https://arcade.lincoln.gov.uk/13bb9c01-7a85-4e36-b11f-11379486ce40', u'width': 1600, u'file_id': u'337ef33c-91a1-11e9-ae3b-066e122e3f0a', u'accepted': True, u'type': u'image/jpeg', u'size': 369423}]",Summary,,Primary,
019d9806-6bec-484d-adce-63e1cf2cb1c5,,,,,,,,,,,,,,,,,,,,,,,,,23 Monks Road,,,,,,,,,,,Site Name,
01cdabf7-d36d-4bd1-afe1-42af62f082a2,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.542777016942831 53.2262643073199)),1286,,,,,,Excavation at High Street,EXCAVATION,,,,,Area 3 of four. Trench 3,,,Summary,,Primary,
01cdabf7-d36d-4bd1-afe1-42af62f082a2,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2006.75,,,,,,,,,,,,,,,,,,
01cdabf7-d36d-4bd1-afe1-42af62f082a2,,,,,,,,,,,,,,,,,,,,,,,,,170 High Street,,,,,,,,,,,Site Name,
01e48df5-a144-4a03-843e-22fb255d473e,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.541755774324766 53.2369225140048)),1013,,,,,,Excavation at Westgate,EXCAVATION,,,,,"Excavation site consisting of two trenches, Trenches 1 and 2. Trench 1",,,Summary,,Primary,
01e48df5-a144-4a03-843e-22fb255d473e,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2000.247,,,,,,,,,,,,,,,,,,
01e48df5-a144-4a03-843e-22fb255d473e,,,,,,,,,,,,,,,,,,,,,,,,,Westgate 1973,,,,,,,,,,,Site Name,
01e6fb49-6f12-446a-8acb-f25ea1a209fa,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5448636424089081 53.2128772442958)),4161,,,,,,Photographic Survey at Malandry Closes,PHOTOGRAPHIC SURVEY,,,,,The bridge was recorded and photographed as part of 1998 Industrial Archaeology Survey project,,,Summary,,Primary,
01e6fb49-6f12-446a-8acb-f25ea1a209fa,,,,,,,,,,,,,,,,,,,,,,,,,Road bridge,,,,,,,,,,,Site Name,
01ebe469-ffe0-4a78-9797-1f97b9ccbc8f,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.539150746222658 53.2311372521333)),7845,,,,,,Trial Trench at 270 High Street,TRIAL TRENCH,,,,,Archaeological Evaluation in advance of an application to erect an extension.,,,Summary,,Primary,
01ebe469-ffe0-4a78-9797-1f97b9ccbc8f,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2002.129,,,,,,,,,,,,,,,,,,
01ebe469-ffe0-4a78-9797-1f97b9ccbc8f,,,,,,,,,,,,,,,,,,,,,,,,,The Former Falstaff Public House,,,,,,,,,,,Site Name,
01eca77c-9185-48c1-8585-8ea093521a8f,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.548553113699725 53.2268921420823)),997,,,,,,Geotechnical Test Pit at Brayford South/Holmes,GEOTECHNICAL TEST PIT,,,,,Pit 48 of sixty one. TP51,,,Summary,,Primary,
01eca77c-9185-48c1-8585-8ea093521a8f,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,15.94,,,,,,,,,,,,,,,,,,
01eca77c-9185-48c1-8585-8ea093521a8f,,,,,,,,,,,,,,,,,,,,,,,,,University College of Lincolnshire,,,,,,,,,,,Site Name,
01f7d24a-4bec-41ab-8bab-f7b9d5db3ab7,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5205218464131121 53.2517454838078)),1367,,,,,,Trial Trench at Nettleham Road,TRIAL TRENCH,,,,,"Archaeological Evaluation consisting of three trenches, Trenches I-III. Trench Ill, 25m x 2.5m x 0.35m deep. A pier base of the aqueduct was recorded, but the area was much disturbed.",,,Summary,,Primary,
01f7d24a-4bec-41ab-8bab-f7b9d5db3ab7,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2005.203,,,,,,,,,,,,,,,,,,
01f7d24a-4bec-41ab-8bab-f7b9d5db3ab7,,,,,,,,,,,,,,,,,,,,,,,,,Nettleham Road,,,,,,,,,,,Site Name,
01fec120-6ae5-4276-bce0-627733d9f8ec,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.542922071010016 53.2246389553854)),620,,,,,,Casual Observation at High Street,CASUAL OBSERVATION,,,,,"Observation 2 of five. In 1877-8 Drury observed the Roman road at various points. Here it was four and a half feet (1.37m) below the road, was 5 feet (1.52m) thick concrete on top of 3-4 feet (0.91m-1.22m) of muddy soil covering clean river sand",,,Summary,,Primary,
01fec120-6ae5-4276-bce0-627733d9f8ec,,,,,,,,,,,,,,,,,,,,,,,,,High Street (Shakespeare Street - Cornhill),,,,,,,,,,,Site Name,
021057ff-b998-4c96-9341-f3f8e798343f,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.543499679044242 53.2137955070095)),11107,,,,,,"Casual Observation at Allotment gardens, Malandry",CASUAL OBSERVATION,,,,,"Found while allotment digging, a collection of human bone at a depth of c0.3m. Reported to R Trimble of CLAU, who inspected and recorded the site.",,[],Summary,,Primary,
021057ff-b998-4c96-9341-f3f8e798343f,,,,,,,,,,,,,,,,,,,,,,,,,"Allotment gardens, Malandry",,,,,,,,,,,Site Name,
023a6c6e-ecf3-4eeb-b778-1df330e70b8e,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5377408962881139 53.2408557378905)),631,,,,,,Watching Brief at Newport,WATCHING BRIEF,,,,,Small scale drainage work revealed only disturbed dark brown earth containing brick/stone and little else,,,Summary,,Primary,
023a6c6e-ecf3-4eeb-b778-1df330e70b8e,,,,,,,,,,,,,,,,,,,,,,,,,"Willsons Cottage, Newport",,,,,,,,,,,Site Name,
023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.543692241989152 53.2222481330719)),895,,,,,,Excavation at High Street,EXCAVATION,,,,,Excavation site,,,Summary,,Primary,
023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,86.99,,,,,,,,,,,,,,,,,,
023a82c4-dbcb-4f38-80bb-f248eb7c55b9,,,,,,,,,,,,,,,,,,,,,,,,,St Marys Guildhall 1982,,,,,,,,,,,Site Name,
0240145f-5bd7-4a0e-a174-b424f3c8dea3,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.502781990699676 53.2304971937547)),10120,,,,,,"Evaluation at Wavell Drive, Allenby Road Industrial Estate",EVALUATION,,,,,"Archaeological Evaluation in advance of the construction of a light industrial development, consisting of three trenches, T1, T2 and T3",,[],Summary,,Primary,
0240145f-5bd7-4a0e-a174-b424f3c8dea3,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2007.137,,,,,,,,,,,,,,,,,,
0240145f-5bd7-4a0e-a174-b424f3c8dea3,,,,,,,,,,,,,,,,,,,,,,,,,Land at Wavell Drive,,,,,,,,,,,Site Name,
0247e61d-5bcc-4132-b1f0-5ba6ea235858,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.528019031407071 53.2424980592305)),630,,,,,,Excavation at Nettleham Road,EXCAVATION,,,,,Investigative trench and resistivity surveys proved negative in an attempt to trace the line of the Roman aqueduct,,,Summary,,Primary,
0247e61d-5bcc-4132-b1f0-5ba6ea235858,,,,,,,,,,,,,,,,,,,,,,,,,81 Nettleham Road,,,,,,,,,,,Site Name,
025eb2ea-d828-448b-8960-b6b850f2be62,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,"GEOMETRYCOLLECTION (POLYGON ((-0.540602 53.227549, -0.540616 53.227552, -0.54062 53.227543, -0.540612500009388 53.22754199999505, -0.540605 53.227541, -0.540602 53.227549)))",4697,,,,,,Excavation at Cornhill,EXCAVATION,,,,,Archaeological Recording and Excavation during groundwork for extensions to the Information Centre. Trench 3 of six. Trench T3. East side of site. Interpretation of deposits was impossible due to the small size of the trench (0.2m sq.),,,Summary,,Primary,
