ResourceID,Evidence,Asset Description Type,Heritage Asset Name,Statutory name,Map Reference Type,Dimension Value,Production Technique,Area Type,External Cross Reference Number,Monument Phase,Material Name,Resource ID,Date of Assessment,Designation or Protection Type,Designation or Protection To Date,Area Name,Road or Street Name,Number in Road or Street,Dimension Type,Rights Holder,Role,Geometry,Asset Type,Production Method,Dimension Measurement Unit,Spatial Metadata Description,Occupancy,End of TimeSpan,Locality,Inscription Content,Geometry Source,Postal Code,Description Language,Right Type,External Cross Reference Notes,Organization Name,Caption,Designation Description,Cultural Period,Date of Compilation,File,Designation Description Type,Condition Type,Location Description Type,From Date,Date Type,Asset Description,Image File,Spatial Accuracy Qualifier,Measurement Type,Town or City,Risk Level,External Cross Reference Source,Description Language,Rights Note,To Date,Location Description,Material Type,Grade,Designation Activity Name Type,Inscription Note,Compiler Name,Begin of TimeSpan,Image File,Language,Asset Name Type,Map Reference Name,Created By Actor(s),Designation Activity Name,Designation or Protection From Date
418b96e2-fb00-11e9-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,NUMBER 3 AND ADJOINING AREA WALL (Minster Yard),,,,,,1388651,088ff7d9-89ea-4869-ac73-03338c5faeb0,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53460672 53.23477946)),HOUSE,,,,,,,,,,English,,,,,,POST MEDIEVAL,,,,,,1715,,"<p>House and adjoining area wall and boundary wall. c1715, by John White, incorporating remains of a C17 house and of the medieval Priory gatehouse, with early C19 alterations. Coursed and squared rubble and brick, with early C19 stucco front and plain tile and pantile roofs. Quoins, moulded eaves, 2 rear wall and single ridge stacks. EXTERIOR: 2 storeys plus basement and attics, 5 bays. Front has steps to a central columnated doorcase with hood on brackets, panelled door and fanlight. On either side, 2 glazing bar sashes with cornices. Above, 5 similar sashes. Above again, 3 segment headed dormers with sashes. Basement has, to left, 2 casements, and to right, a plank door. North gable, patched in 1815 when the adjoining gatehouse was demolished, has a brick peak c1715. Adjoining boundary wall, to east, approx. 3m high and 15m long, has pantile coping and incorporates a reset C13 window. Area wall, stucco with stone coping, has 5 panelled piers. INTERIOR: has at the rear an open well staircase rising full height, with square newels, ramped handrail, and 3 vase and stem balusters per tread. Ground floor has a central entrance hall with panelled dado. To left, a panelled room with moulded cornice and fireplace surround. Main ground floor and first floor rooms have moulded cornices, fielded 6-panel doors and mid C19 fireplaces. Outside, at the front, attached dwarf boundary wall, stucco with stone coping, with 5 panelled piers. Attached to the north side, boundary wall, coursed squared stone, approx. 2m high and 15m long. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 495; Jones S: The Survey of Ancient Houses in Lincoln: Lincoln: 1984-: 32-34; Report and overall assessment of listable quality: Hewlings R: Secular properties..... in Lincoln Minster Close: London: 1987-).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,English,,,,,Grade II*,,,,,,,Statutory,,,,08/10/1953
42729284-480f-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,SUMMERHOUSE 70 METRES WEST OF NUMBER 34,,,,,,1388443,a2ce2c2f-33b2-46db-8cae-11175bb535fc,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53891666 53.23625273)),SUMMERHOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1750,,"<p>Summerhouse. Mid C18, incorporating a C15 2-light mullioned window and a C15 ogee headed window, plus other worked stone fragments. Coursed and squared stone with a plain tile roof. Buttressed north-west corner. West gable has to left a chamfered pointed arched doorway with a mask corbel above it, and to the right a segmental pointed window with hoodmould. Above, a round headed opening. North side has a C15 flat headed window. INTERIOR: single purlin roof with collar and arch braces, restored C19. In the east wall, a corbel in the form of a devil. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 516).</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,02/10/1969
44f8c964-fcbb-11e9-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,CHURCH OF ST JOHN,,,,,,1388800,97d8fcfc-328a-445b-ba00-02f109a33d02,,,,Listed Building,,,,,,,,"GEOMETRYCOLLECTION (POINT (-0.5314283 53.24753259), POINT (-0.5314283 53.24753259))",CHURCH,,,,,,,,,,English,,,,,,20TH CENTURY,,,,,,1963,,"<p>Church. 1962-63. Architect Sam Scorer of Denis Clarke Hall, Scorer and Bright. Walls rendered to lower parts, glazed to upper parts (including a wall of stained glass), beneath a concrete hyperbolic paraboloid roof, covered externally in aluminium sheets. PLAN: hexagonal plan, designed on the principle that the whole congregation should be gathered round the sanctuary and altar area and have a clear view of everything that is done there. EXTERIOR: the exterior is dominated by the saddle-like shape of the hyperbolic paraboloid roof, which rises to east and west and sweeps down to ground level points to north and south (at each point there being a small pool). Western entrance via porch with projecting canopy with segmental underside to front plane. INTERIOR: internally the roof is varnished boarding. The altar is placed in a circular sanctuary area to the eastern side of the hexagon, and is raised on 4 steps. The fixed pews of light-coloured varnished wood are curved to describe a part-circular formation on a floor which slopes gently downwards towards the sanctuary. The font is placed in the central aisle, in front of the altar. Font, altar and pulpit are &#39;chunky&#39; in form and are designed by the architect in concrete. The sanctuary is surrounded by a painted metal rail with a shelf, and the sanctuary and raised strip behind are also partly enclosed by a simple painted metal rail; the latter railings, to left and right of the sanctuary, have affixed to them a pair of large metal candlesticks of abstract design, by the sculptor Charles Edward Sansbury, who also designed the 2 smaller candlesticks of twisted and welded metal and matching Processional Cross. The upper part of the east wall is fully glazed and comprises an abstract stained-glass window by the artist Keith New. The building is a major contribution to church architecture of this period, combining innovative architectural thinking with advanced liturgical planning, and a complete set of original fittings, including artist-designed stained glass and metalwork of high quality.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,English,,,,,Grade II*,,,,,,,Statutory,,,,19/01/1995
46fb112c-5977-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,NUMBER 19 AND ATTACHED YARD WALL,,,,,,1388527,e8495fda-3a65-470a-be6a-ddd2b2077c67,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53286164 53.23542323)),HOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1700,,"<p>House and attached yard wall. Early C18, with mid C19 alterations and additions. Coursed squared stone with rendered front and plain tile and pantile roofs with 2 gable, single ridge and single roof stacks. Wooden eaves. 2 storeys, 5 unequal bays. L-plan. Front windows are glazing bar sashes. Off-centre mid C19 porch with columns, carrying a square bay window with a plain casement. To the left, a single sash, and to right 4 sashes and a leaded casement. Above, 4 sashes. West side has an attached garage and to its right, a glazing bar sash. INTERIOR not inspected. Outside, to left, a gault brick yard wall with ramped coping and a pair of wooden gates with square piers.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,08/10/1953
477d8444-4c0d-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,WHITE HART HOTEL,,,,,,1388461,1856acf2-2ca6-4557-be23-ac33f2353f23,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53817612 53.23467945)),HOTEL,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1722,,"<p>Hotel. Dated 1722, refronted 1844, with additions and alterations c1900, 1938 and 1962, the latter by Watkins, Coombes &amp; Partners. Brick with channelled stucco ground floor, stone dressings and plain tile roofs. Coped parapets. EXTERIOR: Bailgate side has to left an C18 3-storey front, 3 bays, with a central panelled stucco doorcase under a flat leaded canopy, flanked by single tripartite sashes. Above, 3 tall glazing bar sashes with bracketed pedimented surrounds, the outer 2 with iron balconies. Above again, 3 smaller glazing bar sashes. c1900 addition, to right, 4 storeys plus attics, 4 bays, with moulded cornice. The first and second floors have French windows with balconies. The first floor openings have segmental heads, those above, flat arches with keystones. 1962 addition, to right, 4 storeys, 2 bays, in a plainer version of the same style. North gable, C18, has on the first floor a pedimented sash window with a balcony and a large bracket clock topped with a figure of a hart. Eastgate side has to right the former stables, 2 storeys, 7 bays, with moulded brick bands and eaves. To left, a canopied doorway and 3 plain sashes, and above, 7 sashes, all segment headed. 1938 addition, to left, Neo-Georgian style, brick, 3 storeys, 5 bays. Central basket arched carriage opening flanked by single metal framed windows with rusticated surrounds. Above, central pedimented window with balcony, flanked by 2 windows with cornices and pediments. Above again, 5 segment headed windows. INTERIOR: refitted early and mid C20, with a set of early C20 revolving doors. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 512).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,02/10/1969
4862a43e-4cf3-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"85, CANWICK ROAD",,,,,,1388475,e34df0cc-a7e6-436e-9130-11724809a75e,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53483085 53.22207086)),SHOWROOM,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1899,,"<p>Office and showroom. 1899. Designed by William Mortimer of Lincoln for J Daniels of Fambrini &amp; Daniels, Architectural Modellers. MATERIALS: Red brick with elaborate terracotta and stone decoration and Welsh slate roffs. EXTERIOR: 2 Storey. Moulded plinth. Street front has 2 windows in 2 windows in 2 storey projecting square bay window. Ground floor plain sashes have short upper columns with ornate capitals supporting serpentine lintel with moulded bands behind. Above 2 moulded bands across whole facade with between rectangular panels central one with foliage pattern and outer ones with sunflowers. Above 2 segment headed sashes with elaborate keystones and moulded hoods with stops, windows flanked by pilaster strips. Eaves cornice has decorative corbels and banding, with above in parapet a projecting panel decorated with pendant flag and wreath. Rainwater heads in form of monstrous heads. Side entrance facade has similar elaborate architectural detail. Topped with panel bearing Licoln City coat of arms surmounted by segmental pediment bearing date 1889.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,24/08/1999
49e53108-42aa-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"18, BAILGATE",,,,,,1388436,ab7e8f66-81df-49f2-bde8-8d56ee9d8dc0,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.5387226000000001 53.23535139)),HOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1800,,"<p>House, now a house and shop. Early C19. Brick with pantile roof and single gable stack. 3 storeys, 2 bays. Windows have painted stucco lintels with keystones. C20 pilastered wooden shopfront with central glazed door flanked by single windows. To the left, a blocked round headed doorway containing a showcase. Above, 2 glazing bar sashes and above again, 2 smaller sashes. INTERIOR not inspected.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,15/08/1973
4a5e1444-12ba-11ea-ae3c-066e122e3f0a,,,"6 AND 7, BAILGATE","6 AND 7, BAILGATE",,,,,,,,,,Listed Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grade II,,,,,,,Primary,,,,
4b350164-fa2f-11e9-ae3c-066e122e3f0a,ARCHITECTURAL COMPONENT,Statutory,ROMANESQUE DOOR ARCH IN THE FORMER LINCOLN ARMS PUBLIC HOUSE,,,,,,1388602,03d65a20-3b6e-48af-8a43-f60d7061bf06,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.54432403 53.22216920000001)),ARCHITECTURAL FRAGMENT,,,,,,,,,,English,,,,,,MEDIEVAL,,,,,,1150,,"<p>Romanesque door arch, c1150, salvaged during demolition, 1783, and resited 1907. Situated in a first floor rear room. Limestone rubble. Outer arch has a complex double chevron moulding enhanced by an early form of dogtooth moulding. Inner arch has keeled roll moulding flanked by quirks and hollows. The arch was removed from St Andrew&#39;s Hall, a Norman house which stood on this site till its demolition in 1783. The special interest of the arch derives from its place in a C12 domestic building. Most surviving examples of domestic architecture of this period are to be found in Lincolnshire. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 525-526).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,English,,1783,,,Grade II*,,,,,,,Statutory,,,,24/09/1986
4d4456d8-e4fb-11e9-ae3b-066e122e3f0a,EXTANT BUILDING,Statutory,CHURCH OF ST MARY LE WIGFORD,CHURCH OF ST MARY LE WIGFORD,,,,,1388597,b2f84119-7821-4eeb-ae24-8331380b0fa3,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.54104116 53.22665085)),CHURCH,,,,,,,,,,English,,,,,,MEDIEVAL,,,,,,1000,,"<p>Church. C11, C12, C13. South aisle 1877 by Leach of Cambridge. Restored 1872 by R C Clarke of Nottingham. Tower restored by Watkins &amp; Son, 1908. Additions and alterations 1975. Dressed stone and coursed rubble, with ashlar dressings and slate roofs. Nave and aisles have coped gables. PLAN: west tower, nave and chancel under continuous roof, aisles, north chapel, vestry. EXTERIOR: west tower, C11, 2 stages, has quoins, string course and eaves band, and crenellated parapet. To west, restored doorway, now a window, with imposts and checkered hoodmould. To its right, a reset stone with Roman and Anglo-Saxon inscriptions. Above it, 2 round headed windows and above them, a clock. Recessed bell stage has round headed twin openings with mid wall shafts and various C11 capitals. Nave has at the west end small buttresses flanking the tower. East end has 3 buttresses, moulded plinth and sill band, and 2 single lancets with hoodmoulds and stops. Above them, a pointed quatrefoil with moulded surround. North aisle and chapel, C13, 4 bays, has dentilled eaves and sill band to north-east, and a C19 side wall stack. 4 buttresses, those to the west being larger. South side has, to east, 2 flat headed Perpendicular 3-light windows. To their right, 2 similar windows, C19 and C14. Renewed doorway with C20 leaded hood. East and west ends have Decorated 3-light windows with hoodmoulds. East end has a diagonal buttress. South aisle, 4 bays, has buttresses and stepped sill band. Reset C13 moulded south door with double shafts. To its right, 2 altered 3-light windows with intersecting tracery. At the east end, a similar window. To south, C20 vestry with a reset C13 roll moulded arch with shafts and scallop capitals, and 2 interlace panels. These are said to be from the churches of St Benedict and St Mark. INTERIOR has C19 panelled barrel vaulted roofs throughout. Chamfered tower arch has a C20 glazed screen. Above it, a round headed doorway. North arcade, C13, 3 bays, has concave sided octagonal piers with 4 ringed shafts and stiff-leaf capitals. Double chamfered arches with hoodmoulds and stops. South arcade, C19, has plain octagonal piers and capitals. Chancel has double chamfered arch with hoodmould and keeled responds with stiff-leaf capitals. Screen wall with wrought-iron railing and gate. North side has a 2 bay arcade with cruciform central pier with detached shafts, keeled responds, double chamfered arches with hoodmoulds, and C19 traceried iron screen. Arcaded east end has ringed shafts and moulded sill band. Stained glass windows, 1877, by Clayton &amp; Bell. South side has a gabled piscina and aumbry, tomb recess containing a seat, and organ opening. North aisle has a C13 doorway with keeled roll moulding and shafts. Roll moulded window surrounds with filleted shafts. Reset stained glass north-east window, mid C19. North chapel has an early C14 keel moulded tomb recess with an effigy. East window has a keel moulded surround and stained glass, 1865. To its left, and ogee headed aumbry. South aisle has a blocked double chamfered arch to east, with a C20 screen and door. FITTINGS include a C15 buttressed octagonal font, 2 brass lecterns, traceried stalls and desks, all C19. Brass chandelier c1720. MEMORIALS include and alabaster chest tomb, 1618, possibly by Maximilian Colt to Sir Thomas Grantham, with 2 effigies and shields in quatrefoils. Reset late C16 floor slab. Two late C18 and 2 mid C19 tablets. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 497-498).</p>
",,,,,,National Heritage List for England,English,,,,,Grade I,,,,,,,Statutory,,,,08/10/1953
4e195a5e-5981-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"22 AND 23, EASTGATE",,,,,,1388529,28a4bb51-d2ae-4ed2-bfb5-8924ccedc747,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53227877 53.2353801)),HOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1750,,"<p>2 houses. Late C18, with mid C19 and mid C20 alterations. Coursed squared stone with brick front and pantile roof with 2 brick gable stacks. Stone and concrete coping to gables. 2 storeys plus attics, 2 bays. West front has a pair of doorcases, that to left altered to a window, flanked to left by a large glazing bar window with pilaster surround, and to right by a C20 shop window. Above, 2 mid C19 square wooden bay windows with C19 and C20 casements. Above again, 2 segment headed dormers with casements. Each gable has an off-centre segment headed window. INTERIOR not inspected.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,22/10/1969
4f7d67ba-4d96-11ea-ae3c-066e122e3f0a,EXTANT STRUCTURE,Statutory,STATUE OF GEORGE III 30 METRES SOUTH OF NORTH WALL OF LINCOLN CASTLE,,,,,,1388493,9ad537a0-769a-4f00-9c61-dab302c444f6,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.54056662 53.23532004)),STATUE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1810,,"<p>Incomplete statue of George III. 1810. Designed by Mrs Coade and modelled by Joseph Panzetta for the Earl of Buckingham. Coade stone. Large than life size. The remains of a statue placed on Dunston Pillar in 1810 to replace the lantern. The statue was resited and the pillar reduced in height during World War II, because of danger to low flying aircraft. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 261).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,08/07/1991
50be2c00-fb0b-11e9-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"13, MINSTER YARD",,,,,,1388658,40e77125-21bd-4a6b-a8fd-c03d092a178a,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53405792 53.23373891)),HOUSE,,,,,,,,,,English,,,,,,POST MEDIEVAL,,,,,,1736,,"<p>House. c1736, with late C18 and C19 alterations. Brick, colourwashed, with hipped slate roof and single brick ridge stack. Moulded wooden eaves. 2 storeys plus attics, 3 bays. Windows are glazing bar sashes. To left, a flat roofed stucco porch, C19, with 8-panel door and overlight. To its right, 2 sashes, and above, 3 smaller sashes. Above again, a segment headed dormer. Near-symmetrical rear elevation has mainly glazing bar sashes. Ground floor has, to right, 2 taller sashes with cast-iron balconies. INTERIOR has C18 stairwell with fielded panelled wainscot, pedimented doorcases, modillion cornice and panelled ceiling. Stairs have turned balusters. Drawing room has fielded panelled wainscot, dentilled cornice and marble fireplace with shouldered architrave. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 491; Jones S: The Survey of Ancient Houses in Lincoln: Lincoln: 1987-: 9-16; Report and overall assessment of listable quality: Hewlings R: Secular properties..... in Lincoln Minster Close: London: 1987-).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,English,,,,,Grade II*,,,,,,,Statutory,,,,08/10/1953
50c099ac-482e-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"58-63, BAILGATE",,,,,,1388451,9a0c601e-69b3-4038-8bb4-3474170dea69,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53798956 53.23663691)),DWELLING,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1750,,"<p>Row of 6 houses. Late C18, refenestrated mid C20. Brick with asbestos slate roofs with 2 gable and 2 ridge stacks. Rendered plinth, stone steps, dentilled eaves, brick coped gables with kneelers, flat arches to openings. 2 storeys plus attics, 6 bays. Windows are mid C20 2-light casements, those on the lower floors with toplights. Central through passage doorway with plain door. To its left, a fielded 6-panel door with a reeded surround and cornice. To its right, a C20 panelled door. Either side are pairs of windows, then pairs of doors, and beyond again, single windows. Above, 6 windows arranged 1/2/2/1. Above again, 6 gabled dormers with smaller 2-light casements. INTERIOR not inspected.</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,"<p>Row of 6 houses. Late C18, refenestrated mid C20. Brick with asbestos slate roofs with 2 gable and 2 ridge stacks. Rendered plinth, stone steps, dentilled eaves, brick coped gables with kneelers, flat arches to openings. 2 storeys plus attics, 6 bays. Windows are mid C20 2-light casements, those on the lower floors with toplights. Central through passage doorway with plain door. To its left, a fielded 6-panel door with a reeded surround and cornice. To its right, a C20 panelled door. Either side are pairs of windows, then pairs of doors, and beyond again, single windows. Above, 6 windows arranged 1/2/2/1. Above again, 6 gabled dormers with smaller 2-light casements. INTERIOR not inspected.</p>
",,,,,Statutory,,,,02/10/1969
51f55130-5339-11ea-ae3c-066e122e3f0a,EXTANT STRUCTURE,Statutory,CLOSE WALL ADJOINING NUMBERS 4 AND 10 AND 12 (NUMBERS 10 AND 12 NOT INCLUDED) NUMBER 5 AND ADJOINING SECTIONS OF THE CLOSE WALL,,,,,,1388511,c3acc3c0-7cc4-4a03-bb83-67f076f62151,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53696159 53.23690297)),BOUNDARY WALL,,,,,,,,,,,,,,,,MEDIEVAL,,,,,,1300,,"<p>Includes: Close Wall adjoining Nos.4, 10 and 12 (Nos.10 and 12 not included) JAMES STREET. Stables, now a house, and adjoining sections of the Cathedral Close wall. Early C14 and early C19, with C20 additions and alterations. Coursed and squared stone with stone dressings and pantile roofs, with single coped ridge and gable stacks. Pantile and concrete copings to the wall. House, 2 storeys, has to south a door flanked by single C20 windows all with round heads, and to left a basket arched carriage opening with C20 glazed screen and door. To left again, a lower single bay with an Early English style double lancet. Beyond, single storey outbuildings, C19 and C20. To the south, a section of wall approx. 75m long. To east, bordering East Bight to the south, a section of wall approx. 90m long, with a moulded elliptical carriage arch with a pair of doors at the west end. At the east end, a rounded corner. Beyond, bordering East Bight to the west, a section of wall approx. 150m long. This section of the Close wall has been pierced and patched, but is substantially original. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 483-484).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,02/10/1969
53bc327e-e532-11e9-ae3b-066e122e3f0a,RUINED BUILDING,Statutory,BISHOPS PALACE (REMAINS),BISHOPS PALACE (REMAINS),,,,,1388677,f33e0f36-4768-4d31-8710-cbcd8cc37393,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53646524 53.23300437)),BISHOPS PALACE,,,,,,,,,,English,,,,,,MEDIEVAL,,,,,,1175,,"<p>Former Bishop&#39;s Palace. East hall c1175, built for Bishop Chesney. West hall, kitchen and service buildings to south, 1186-1224, for Hugh of Avalon and Hugh of Wells. Repaired and crenellated (Licentia Crenellandi 1329) by Bishop Burghersh. Gate tower, west hall bay window and chapel range, 1436-1449, for Bishop Alnwick. Partly demolished 1648. Chapel range demolished 1725. Restored 1838. Alnwick Tower Restored 1838. Former stables, now offices, c1876. Dressed stone and ashlar. Roofless except for Alnwick Tower and former stables. PLAN: east hall and undercroft, west hall with service rooms and kitchen to south, gate tower, chapel range with audience chamber, stable range. The two halls are on opposite sides of a wedge shaped courtyard, open to the south and closed by the northern gate tower. EXTERIOR: east hall has to north a four-centred arched doorway and remains of a traceried window. Tunnel vaulted undercroft with fireplace to west and shaft of spiral stair to south-east. West hall, 4 bays, formerly aisled, has a canted bay window, mid C15, to the north-west. At the south-west end, a porch, mid C13, with a steep arched doorway flanked by smaller blank arches, with shafts, stiff-leaf capitals and dogtooth ornament. To the south, a similar triple doorway formerly leading to the kitchen, pantry and buttery. This is said to be the earliest complete example of this arrangement. To the south, below and beyond the chapel of the adjoining Edward King House, is a rib-vaulted bay with arches to east and west, with unusual billet moulding. To south, a blocked doorway with shafts. Kitchen has to west and to south, 3 buttresses with 3 setoffs. Gatehouse tower, 3 stages, has moulded plinth, string courses and crenellated parapet. To north-west, a canted projection with octagonal stair turret. North side has a moulded doorway with shafts and hoodmould and traceried panelled doors. Above it, a canted crenellated oriel window. South side has a similar doorway, and above it, a 2-light cross casement with four-centred arched head. Third stage has a similar window on each side. INTERIOR has a star-vaulted chamber with cove-moulded doorways to east and west, that to east leading via a star-vaulted passage to the ante-chapel which has a tunnel vaulted room beneath it. Chapel range, to north-east, has remains of the audience chamber and oratory with square and rectangular aumbries. At the west end, a large cusped ogee headed sideboard recess, flanked by segmental pointed doorways with linked hoodmoulds. Stable range, 3 bays, Tudor Revival style, has coped parapet and gables, elliptical headed carriage openings and flat headed mullioned windows with hoodmoulds. This building is of unusual importance as a medieval domestic building and because it was the residence of St Hugh, 1136-1200, and Robert Grossteste, 1235-1253. Scheduled Ancient Monument, County No.97? (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 485-488).</p>
",,,,,,National Heritage List for England,English,,1648,,,Grade I,,,,,,,Statutory,,,,08/10/1953
5563c4fa-fcb8-11e9-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"4, POTTERGATE",,,,,,1388736,4673b89e-ebf6-427e-823a-2c1b6dcdf98a,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53332592 53.23367596)),HOUSE,,,,,,,,,,English,,,,,,MEDIEVAL,,,,,,1300,,"<p>House. C14 and C15, with mid C17 additions, altered c1760 and C19. Dressed stone and coursed rubble, with ashlar dressings and plain tile roofs with single gable, ridge and side wall brick stacks. Chamfered eaves. 2 storeys, 3 bays. L-plan. West front has an off-centre moulded doorcase, restored, with four-centred arch and hoodmould. Unusual late C19 door with hexagonal glazed panels. To its right, a blocked segmental carriage arch with hoodmould and mask stops, containing a C15 2-light window with flat head and hoodmould. To the left, 2 glazing bar sashes. Rear has a gabled wing to left with shaped bargeboards and a 3-light casement. Above, a glazing bar sash in an altered opening with wooden lintel. To the right, a canted bay window, late C19, and above, 3 glazing bar sashes. INTERIOR has a first floor room with C17 framed panelling and window seats. CEP Charlesworth, pioneer in the treatment of insanity, lived here 1820-1834. From c1400 till c1726, this building formed a single property with 5 Pottergate, qv. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 491; Jones S: The Survey of Ancient Houses in Lincoln: Lincoln: 1984-: 74-95; Report and overall assessment of listable quality: Hewlings R: Secular properties..... in Lincoln Minster Close: London: 1987-).</p>
",,,,,,National Heritage List for England,English,,,,,Grade II*,,,,,,,Statutory,,,,08/10/1953
56d71f16-480e-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"34, BAILGATE",,,,,,1388442,7716ca70-ecfe-4d41-acf7-ef19b134d20d,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53840467 53.23632736)),HOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1750,,"<p>House, now an old people&#39;s home. Mid C18, containing in the rear wing a C14 open hall, with mid C19 additions. Brick and coursed rubble, with stone dressings. pantile and concrete tile roofs with 3 gable stacks. Plinth and coped gables. 3 storeys, 3 bays. L-plan. Central pedimented Doric doorcase with lozenge fanlight and fielded 6-panel door. On either side, a plain sash. Above, a central sash with glazing bars, flanked by single plain sashes, all with unusual painted multiple keystones. INTERIOR has in the rear wing a cruck framed hall with chamfered arch brace and crownpost roof. C19 dogleg stair with winders, stick balusters, and ramped scrolled handrail. Three fielded 6-panel doors. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 516).</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,02/10/1969
